Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
46th Street–Bliss Street,7,IRT,Flushing Line,"April 21, 1917",Queens,Sunnyside,"4,019,044",121,
47th–50th Streets–Rockefeller Center,B D F M,IND,Sixth Avenue Line,"December 15, 1940",Manhattan,Midtown,"18,604,810",11,
49th Street,N R W,BMT,Broadway Line,"July 10, 1919",Manhattan,Midtown,"7,410,041",50,
50th Street,C E,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Midtown,"6,902,595",57,
50th Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Midtown,"8,134,360",41,
50th Street,D,BMT,West End Line,"June 24, 1916",Brooklyn,Borough Park,"976,988",366,
52nd Street,7,IRT,Flushing Line,"April 21, 1917",Queens,Woodside,"1,907,368",248,
53rd Street,R,BMT,Fourth Avenue Line,"September 22, 1915",Brooklyn,Sunset Park,"2,797,730",174,
55th Street,D,BMT,West End Line,"June 24, 1916",Brooklyn,Borough Park,"637,405",397,
57th Street,F,IND,Sixth Avenue Line,"July 1, 1968",Manhattan,Midtown,"4,550,216",106,
57th Street–Seventh Avenue,N Q R W,BMT,Broadway Line,"July 10, 1919",Manhattan,Midtown,"11,012,550",26,
59th Street,N R,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Sunset Park,"3,664,480",138,
59th Street–Columbus Circle,A B C D 1,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Midtown,"23,040,650",8,
,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",,,,,
61st Street–Woodside,7,IRT,Flushing Line,"April 21, 1917",Queens,Woodside,"5,345,369",84,
62nd Street/New Utrecht Avenue,N D,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Borough Park,"1,501,183",297,
,D,BMT,West End Line,"June 24, 1916",,,,,
63rd Drive–Rego Park,M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Rego Park,"4,753,706",95,
65th Street,M R,IND,Queens Boulevard Line,"August 19, 1933",Queens,Woodside,"1,098,148",345,
66th Street–Lincoln Center,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Upper West Side,"7,068,256",54,
67th Avenue,M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Forest Hills,"2,641,450",185,
68th Street–Hunter College,6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,Upper East Side,"6,699,711",61,
69th Street,7,IRT,Flushing Line,"April 21, 1917",Queens,Woodside,"1,564,387",286,
71st Street,D,BMT,West End Line,"June 24, 1916",Brooklyn,Bensonhurst,"1,722,921",270,
72nd Street,Q,IND,Second Avenue Line,"January 1, 2017",Manhattan,Upper East Side,"9,528,891",30,
72nd Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Upper West Side,"2,837,041",173,
72nd Street,1 2 3,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Upper West Side,"12,379,560",23,
75th Avenue,F,IND,Queens Boulevard Line,"December 31, 1936",Queens,Forest Hills,"1,059,027",351,
75th Street–Elderts Lane,J,BMT,Jamaica Line,"May 28, 1917",Queens,Woodhaven,"1,029,388",358,
77th Street,R,BMT,Fourth Avenue Line,"January 15, 1916",Brooklyn,Bay Ridge,"1,674,582",277,
77th Street,6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,Upper East Side,"7,821,286",46,
79th Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Upper West Side,"4,745,863",96,
79th Street,D,BMT,West End Line,"June 24, 1916",Brooklyn,Bensonhurst,"1,926,290",247,
80th Street,A,IND,Fulton Street Line,"September 25, 1915",Queens,Ozone Park,"1,298,825",324,
81st Street–Museum of Natural History,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Upper West Side,"4,407,607",111,
82nd Street–Jackson Heights,7,IRT,Flushing Line,"April 21, 1917",Queens,Jackson Heights,"4,893,865",94,
85th Street–Forest Parkway,J,BMT,Jamaica Line,"May 28, 1917",Queens,Woodhaven,"1,061,293",350,
86th Street,Q,IND,Second Avenue Line,"January 1, 2017",Manhattan,Upper East Side,"8,378,778",38,
86th Street,R,BMT,Fourth Avenue Line,"January 15, 1916",Brooklyn,Bay Ridge,"3,434,888",145,
86th Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Upper West Side,"3,232,637",155,
86th Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Upper West Side,"5,659,795",77,
86th Street,4 5 6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,Upper East Side,"13,537,308",21,
86th Street,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Gravesend,"708,542",394,
88th Street,A,IND,Fulton Street Line,"September 25, 1915",Queens,Ozone Park,"853,110",377,
90th Street–Elmhurst Avenue,7,IRT,Flushing Line,"April 21, 1917",Queens,Elmhurst,"5,272,683",86,
96th Street†,Q,IND,Second Avenue Line,"January 1, 2017",Manhattan,Upper East Side,"6,154,837",68,
96th Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Upper West Side,"3,038,864",167,
96th Street,1 2 3,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Upper West Side,"11,628,887",25,
96th Street,6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,East Harlem,"5,145,222",88,
103rd Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Upper West Side,"1,498,363",299,
103rd Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Upper West Side,"3,766,055",131,
103rd Street,6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,East Harlem,"4,039,570",120,
103rd Street–Corona Plaza,7,IRT,Flushing Line,"April 21, 1917",Queens,Corona,"6,399,657",64,
104th Street,A,IND,Fulton Street Line,"September 25, 1915",Queens,Ozone Park,"536,924",406,
104th Street,J,BMT,Jamaica Line,"May 28, 1917",Queens,Richmond Hill,"774,888",384,
110th Street,6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,East Harlem,"3,316,061",150,
111th Street,7,IRT,Flushing Line,"October 13, 1925",Queens,Corona,"3,836,999",129,
111th Street,A,IND,Fulton Street Line,"September 25, 1915",Queens,Richmond Hill,"760,163",387,
111th Street,J,BMT,Jamaica Line,"May 28, 1917",Queens,Richmond Hill,"350,344",415,
116th Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Harlem,"2,288,111",206,
116th Street,2 3,IRT,Lenox Avenue Line,"November 23, 1904",Manhattan,Harlem,"3,345,661",148,
116th Street,6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,East Harlem,"4,572,453",105,
116th Street–Columbia University,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Morningside Heights,"4,380,469",112,
121st Street,J,BMT,Jamaica Line,"July 3, 1918",Queens,Richmond Hill,"675,500",396,
125th Street,A B C D,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Harlem,"9,208,598",31,
