Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
Clark Street,2 3,IRT,Broadway–Seventh Avenue Line,"April 15, 1919",Brooklyn,Brooklyn Heights,"1,781,419",259,
Classon Avenue,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Bedford–Stuyvesant,"1,722,852",271,
Cleveland Street,J,BMT,Jamaica Line,"May 30, 1893",Brooklyn,East New York,"880,879",374,
Clinton–Washington Avenues,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Clinton Hill,"1,609,332",281,
Clinton–Washington Avenues,C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Clinton Hill,"2,144,338",218,
Coney Island–Stillwell Avenue†,D F N Q,"BMT Brighton Line,
IND Culver Line,
BMT Sea Beach Line,
BMT West End Line",,"September 5, 1917",Brooklyn,Coney Island,"4,579,191",104,
Cortelyou Road,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Flatbush,"1,957,538",241,
Court Square–23rd Street†,G 7 E M,IND,Crosstown Line,"August 19, 1933",Queens,Long Island City,"7,033,377",55,
,7,IRT,Flushing Line,"November 5, 1916",,,,,
,E M,IND,Queens Boulevard Line,"August 28, 1939",,,,,
Crescent Street,J,BMT,Jamaica Line,"May 30, 1893",Brooklyn,East New York,"1,391,945",308,
Crown Heights–Utica Avenue†,3 4,IRT,Eastern Parkway Line,"August 23, 1920",Brooklyn,Crown Heights,"7,933,008",44,
Cypress Avenue,6,IRT,Pelham Line,"January 7, 1919",The Bronx,Mott Haven,"1,043,922",354,
Cypress Hills,J,BMT,Jamaica Line,"May 30, 1893",Brooklyn,East New York,"420,647",413,
DeKalb Avenue,B Q R,BMT,"Fourth Avenue Line,
Brighton Line","June 22, 1915",Brooklyn,Downtown,"6,708,640",60,
DeKalb Avenue,L,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,Bushwick,"3,290,894",152,
Delancey Street/Essex Street,F,IND,Sixth Avenue Line,"January 1, 1936",Manhattan,Lower East Side,"8,861,296",34,
,J M,BMT,Nassau Street Line,"September 16, 1908",,,,,
Ditmas Avenue,F,IND,Culver Line,"March 16, 1919",Brooklyn,Kensington,"1,177,275",335,
Dyckman Street,A,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Inwood,"2,238,372",210,
Dyckman Street,1,IRT,Broadway–Seventh Avenue Line,"March 12, 1906",Manhattan,Inwood,"2,079,656",228,
East 105th Street,L,BMT,Carnarsie Line,"July 28, 1906",Brooklyn,Canarsie,"1,001,343",361,
East 143rd Street–St. Mary's Street,6,IRT,Pelham Line,"January 7, 1919",The Bronx,Mott Haven,"313,938",417,
East 149th Street,6,IRT,Pelham Line,"January 7, 1919",The Bronx,Longwood,"1,467,410",302,
East 180th Street,2 5,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Van Nest,"2,211,198",213,
East Broadway,F,IND,Sixth Avenue Line,"January 1, 1936",Manhattan,Lower East Side,"4,460,330",109,
Eastchester–Dyre Avenue†,5,IRT,Dyre Avenue Line,"May 15, 1941",The Bronx,Eastchester,"1,331,886",321,
Eastern Parkway–Brooklyn Museum,2 3,IRT,Eastern Parkway Line,"October 10, 1920",Brooklyn,Prospect Heights,"1,338,351",319,
Elder Avenue,6,IRT,Pelham Line,"May 30, 1920",The Bronx,Soundview,"1,996,492",236,
Elmhurst Avenue,M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Elmhurst,"3,867,341",127,
Euclid Avenue†,A C,IND,Fulton Street Line,"November 28, 1948",Brooklyn,East New York,"3,240,578",154,
Far Rockaway–Mott Avenue†,A,IND,Rockaway Line,"January 16, 1958",Queens,Far Rockaway,"1,347,765",317,
Flatbush Avenue–Brooklyn College†,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,Flatbush,"5,684,108",76,
Flushing Avenue,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Bedford–Stuyvesant,"732,897",390,
Flushing Avenue,J M,BMT,Jamaica Line,"June 25, 1888",Brooklyn,Williamsburg,"2,773,154",176,
Flushing–Main Street†,7,IRT,Flushing Line,"January 21, 1928",Queens,Flushing,"17,568,837",12,
Fordham Road,D,IND,Concourse Line,"July 1, 1933",The Bronx,Fordham,"3,671,217",137,
Fordham Road,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,University Heights,"3,120,976",160,
Forest Avenue,M,BMT,BMT Myrtle Avenue Line,"February 22, 1915",Queens,Ridgewood,"1,310,163",323,
Forest Hills–71st Avenue†,E F M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Forest Hills,"8,027,234",42,
Fort Hamilton Parkway,F G,IND,Culver Line,"October 7, 1933",Brooklyn,Windsor Terrace,"1,800,167",256,
Fort Hamilton Parkway,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Borough Park,"1,372,278",311,
Fort Hamilton Parkway,D,BMT,West End Line,"June 24, 1916",Brooklyn,Borough Park,"1,207,971",331,
Franklin Avenue/Botanic Garden,S 2 3 4 5,IRT,Eastern Parkway Line,"August 23, 1920",Brooklyn,Crown Heights,"4,999,385",92,
,S,BMT,Franklin Avenue Line,"September 30, 1928",,,,,
Franklin Avenue†,S C,BMT,Franklin Avenue Line,"August 15, 1896",Brooklyn,Bedford–Stuyvesant,"1,977,940",238,
,C,IND,Fulton Street Line,"April 9, 1936",,,,,
Franklin Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Tribeca,"1,567,005",285,
Freeman Street,2 5,IRT,White Plains Road Line,"November 26, 1904",The Bronx,Crotona Park East,"1,358,821",316,
Fresh Pond Road,M,BMT,Myrtle Avenue Line,"February 22, 1915",Queens,Ridgewood,"1,776,084",263,
Fulton Street,A C 2 3 4 5 J,IND,Eighth Avenue Line,"February 1, 1933",Manhattan,Financial District,"27,715,365",5,
,2 3,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",,,,,
,4 5,IRT,Lexington Avenue Line,"January 16, 1905",,,,,
,J,BMT,Nassau Street Line,"May 29, 1931",,,,,
Fulton Street,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Fort Greene,"1,768,601",265,
Gates Avenue,J,BMT,Jamaica Line,"May 13, 1885",Brooklyn,Bedford–Stuyvesant,"2,249,791",209,
Graham Avenue,L,BMT,Carnarsie Line,"June 30, 1924",Brooklyn,Williamsburg,"2,709,511",180,
Grand Army Plaza,2 3,IRT,Eastern Parkway Line,"October 10, 1920",Brooklyn,Park Slope,"2,295,401",204,
Grand Avenue–Newtown,M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Elmhurst,"5,730,846",74,
Grand Central–42nd Street†,S 7 4 5 6,IRT,42nd Street Line,"October 27, 1904",Manhattan,Midtown,"45,745,700",2,
,7,IRT,Flushing Line,"June 22, 1915",,,,,
,4 5 6,IRT,Lexington Avenue Line,"July 17, 1918",,,,,
Grand Street,B D F M,IND,Sixth Avenue Line,"November 26, 1967",Manhattan,Chinatown,"8,024,364",43,
Grand Street,L,BMT,Carnarsie Line,"June 30, 1924",Brooklyn,Williamsburg,"1,847,219",252,
Grant Avenue,A,IND,Fulton Street Line,"April 29, 1956",Brooklyn,East New York,"1,749,932",266,
Greenpoint Avenue,G,IND,Crosstown Line,"August 19, 1933",Brooklyn,Greenpoint,"3,089,912",163,
Gun Hill Road,5,IRT,Dyre Avenue Line,"May 15, 1941",The Bronx,Baychester,"1,248,513",329,
Gun Hill Road,2,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Williamsbridge,"2,271,942",208,
Halsey Street,L,BMT,Carnarsie Line,"July 14, 1928",Queens,Ridgewood,"2,176,141",215,
Halsey Street,J,BMT,Jamaica Line,"August 19, 1885",Brooklyn,Bedford–Stuyvesant,"2,120,521",223,
Harlem–148th Street†,3,IRT,Lenox Avenue Line,"May 13, 1968",Manhattan,Harlem,"1,120,454",342,
Hewes Street,J M,BMT,Jamaica Line,"June 25, 1888",Brooklyn,Williamsburg,"1,117,566",343,
High Street,A C,IND,Eighth Avenue Line,"June 24, 1933",Brooklyn,Brooklyn Heights,"3,536,860",142,
Houston Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Greenwich Village,"4,496,793",107,
Hoyt Street,2 3,IRT,Eastern Parkway Line,"May 1, 1908",Brooklyn,Downtown,"2,293,256",205,
Hoyt–Schermerhorn Streets,A C G,IND,"Crosstown Line,
Fulton Street Line","April 9, 1936",Brooklyn,Downtown,"3,605,153",140,
Howard Beach–JFK Airport,A,IND,Rockaway Line,"June 28, 1956",Queens,Howard Beach,"1,171,303",336,
Hunts Point Avenue,6,IRT,Pelham Line,"January 7, 1919",The Bronx,Longwood,"3,174,354",156,
Hunters Point Avenue,7,IRT,Flushing Line,"February 15, 1916",Queens,Long Island City,"1,885,928",249,
Intervale Avenue,2 5,IRT,White Plains Road Line,"April 30, 1910",The Bronx,Longwood,"964,689",367,
Inwood–207th Street†,A,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Inwood,"3,150,731",157,
Jackson Avenue,2 5,IRT,White Plains Road Line,"November 26, 1904",The Bronx,Melrose,"1,584,727",283,
Jackson Heights–Roosevelt Avenue/74th Street,E F M R 7,IRT,Flushing Line,"April 21, 1917",Queens,Jackson Heights,"17,077,862",14,
,E F M R,IND,Queens Boulevard Line,"August 19, 1933",,,,,
Jamaica Center–Parsons/Archer†,E J,"BMT Archer Avenue Line,
IND Archer Avenue Line",,"December 11, 1988",Queens,Jamaica,"10,010,419",29,
Jamaica–179th Street†,F,IND,Queens Boulevard Line,"December 11, 1950",Queens,Jamaica,"6,262,449",66,
Jamaica–Van Wyck,E,IND,Archer Avenue Line,"December 11, 1988",Queens,Kew Gardens,"1,412,179",306,
Jay Street–MetroTech,R A C F,BMT,Fourth Avenue Line,"June 11, 1924",Brooklyn,Downtown,"12,238,047",24,
,,IND,"Culver Line,
Fulton Street Line","February 1, 1933",,,,,
Jefferson Street,L,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,Bushwick,"2,237,997",211,
Junction Boulevard,7,IRT,Flushing Line,"April 21, 1917",Queens,Corona,"6,883,317",58,
Junius Street,3,IRT,New Lots Line,"November 22, 1920",Brooklyn,Brownsville,"676,092",395,
Kew Gardens–Union Turnpike,E F M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Kew Gardens,"7,625,674",48,
Kings Highway,B Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Midwood,"5,938,819",71,
Kings Highway,F,IND,Culver Line,"March 16, 1919",Brooklyn,Gravesend,"1,129,071",340,
Kings Highway,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Gravesend,"1,371,311",312,
Kingsbridge Road,D,IND,Concourse Line,"July 1, 1933",The Bronx,Fordham,"2,485,283",193,
Kingsbridge Road,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Kingsbridge Heights,"2,733,096",179,
Kingston Avenue,3,IRT,Eastern Parkway Line,"August 23, 1920",Brooklyn,Crown Heights,"1,472,802",300,
Kingston–Throop Avenues,C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Bedford–Stuyvesant,"2,055,094",231,
Knickerbocker Avenue,M,BMT,Myrtle Avenue Line,"August 15, 1889",Brooklyn,Bushwick,"1,544,093",290,
Kosciuszko Street,J,BMT,Jamaica Line,"June 25, 1888",Brooklyn,Bedford–Stuyvesant,"1,779,062",262,
Lafayette Avenue,C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Fort Greene,"1,599,887",282,
Lexington Avenue/51st Street,6 E M,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,Midtown,"18,957,465",10,
,"E, M",IND,Queens Boulevard Line,"August 19, 1933",,,,,
Lexington Avenue/59th Street,N R W 4 5 6,BMT,Broadway Line,"September 1, 1919",Manhattan,Midtown,"16,760,813",15,
,"4, 5, 6",IRT,Lexington Avenue Line,"July 17, 1918",,,,,
Lexington Avenue–63rd Street,"F, Q","BMT 63rd Street Line,
IND 63rd Street Line",,"October 29, 1989",Manhattan,Upper East Side,"6,567,634",62,
Liberty Avenue,C,IND,Fulton Street Line,"November 28, 1948",Brooklyn,East New York,"833,633",380,
Livonia Avenue,L,BMT,Carnarsie Line,"July 28, 1906",Brooklyn,Brownsville,"856,615",376,
Longwood Avenue,6,IRT,Pelham Line,"January 7, 1919",The Bronx,Longwood,"949,680",369,
Lorimer Street,"J, M",BMT,Jamaica Line,"June 25, 1888",Brooklyn,Williamsburg,"1,747,990",267,
Marble Hill–225th Street,1,IRT,Broadway–Seventh Avenue Line,"January 14, 1907",Manhattan,Marble Hill,"1,561,844",287,
Marcy Avenue,"J, M",BMT,Jamaica Line,"June 25, 1888",Brooklyn,Williamsburg,"4,717,791",98,
Metropolitan Avenue/Lorimer Street,L G,BMT,Carnarsie Line,"June 30, 1924",Brooklyn,Williamsburg,"4,696,924",100,
,G,IND,Crosstown Line,"July 1, 1937",,,,,
Mets–Willets Point,7,IRT,Flushing Line,"May 7, 1927",Queens,Willets Point,"2,025,162",232,
Middle Village–Metropolitan Avenue†,M,BMT,BMT Myrtle Avenue Line,"October 1, 1906",Queens,Middle Village,"1,090,449",347,
Middletown Road,6,IRT,Pelham Line,"December 20, 1920",The Bronx,Pelham Bay,"597,839",402,
Montrose Avenue,L,BMT,Carnarsie Line,"June 30, 1924",Brooklyn,East Williamsburg,"1,933,886",245,
Morgan Avenue,L,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,East Williamsburg,"2,100,475",225,
Morris Park,5,IRT,Dyre Avenue Line,"May 15, 1941",The Bronx,Morris Park,"711,229",393,
Morrison Avenue–Soundview,6,IRT,Pelham Line,"May 30, 1920",The Bronx,Soundview,"1,970,185",239,
Mosholu Parkway,4,IRT,Jerome Avenue Line,"April 15, 1918",The Bronx,Bedford Park,"2,491,758",191,
Mount Eden Avenue,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Highbridge,"1,551,038",289,
Myrtle Avenue,J M,BMT,Jamaica Line,"June 25, 1888",Brooklyn,Bedford–Stuyvesant,"3,854,024",128,
Myrtle–Willoughby Avenues,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Bedford–Stuyvesant,"1,820,637",255,
Myrtle–Wyckoff Avenues,L M,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,Bushwick,"5,927,332",72,
,M,BMT,Myrtle Avenue Line,"July 20, 1889",,,,,
Nassau Avenue,G,IND,Crosstown Line,"August 19, 1933",Brooklyn,Greenpoint,"3,136,229",159,
Neck Road,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Homecrest,"1,362,524",314,
Neptune Avenue,F,IND,Culver Line,"May 1, 1920",Brooklyn,Coney Island,"428,163",412,
Nereid Avenue,2,IRT,White Plains Road Line,"March 31, 1917",The Bronx,Wakefield,"1,006,617",360,
Nevins Street,2 3 4 5,IRT,Eastern Parkway Line,"May 1, 1908",Brooklyn,Downtown,"3,150,597",158,
New Lots Avenue,L,BMT,Carnarsie Line,"July 28, 1906",Brooklyn,Brownsville,"1,254,351",328,
New Lots Avenue†,3,IRT,New Lots Line,"October 16, 1922",Brooklyn,East New York,"1,643,487",279,
Newkirk Avenue–Little Haiti,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,Flatbush,"2,131,839",221,
Newkirk Plaza,B Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Ditmas Park,"3,252,504",153,
Northern Boulevard,M R,IND,Queens Boulevard Line,"August 19, 1933",Queens,Woodside,"2,008,091",235,
Norwood Avenue,J,BMT,Jamaica Line,"May 30, 1893",Brooklyn,Cypress Hills,"948,571",370,
Norwood–205th Street†,D,IND,Concourse Line,"July 1, 1933",The Bronx,Norwood,"2,639,003",186,
Nostrand Avenue,3,IRT,Eastern Parkway Line,"August 23, 1920",Brooklyn,Crown Heights,"1,370,372",313,
Nostrand Avenue,A C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Bedford–Stuyvesant,"5,608,232",78,
Ocean Parkway,Q,BMT,Brighton Line,"April 22, 1917",Brooklyn,Brighton Beach,"1,033,340",357,
Ozone Park–Lefferts Boulevard†,A,IND,Fulton Street Line,"September 25, 1915",Queens,Richmond Hill,"2,216,647",212,
Park Place,S,BMT,Franklin Avenue Line,"April 4, 1905",Brooklyn,Crown Heights,"519,984",409,
Parkchester,6,IRT,Pelham Line,"May 30, 1920",The Bronx,Parkchester,"4,734,709",97,
Parkside Avenue,Q,BMT,Brighton Line,"April 4, 1905",Brooklyn,Prospect Lefferts Gardens,"1,955,051",242,
Parsons Boulevard,F,IND,Queens Boulevard Line,"April 24, 1937",Queens,Jamaica,"2,086,114",227,
Pelham Bay Park†,6,IRT,Pelham Line,"December 20, 1920",The Bronx,Pelham Bay,"2,134,403",220,
Pelham Parkway,5,IRT,IRT Dyre Avenue Line,"May 15, 1941",The Bronx,Pelham Gardens,"896,134",372,
Pelham Parkway,2,IRT,White Plains Road Line,"March 3, 1917",The Bronx,Pelham Parkway,"2,651,208",183,
Pennsylvania Avenue,3,IRT,New Lots Line,"December 24, 1920",Brooklyn,East New York,"1,360,708",315,
President Street–Medgar Evers College,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,Crown Heights,"1,037,219",355,
Prince Street,R W,BMT,Broadway Line,"September 4, 1917",Manhattan,SoHo,"4,342,692",113,
Prospect Avenue,R,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Gowanus,"1,780,893",260,
Prospect Avenue,2 5,IRT,White Plains Road Line,"November 26, 1904",The Bronx,Longwood,"2,148,059",217,
Prospect Park†,B Q S,BMT,"Brighton Line,
Franklin Avenue Line","April 4, 1905",Brooklyn,Flatbush,"3,323,334",149,
Queens Plaza,E M R,IND,Queens Boulevard Line,"August 19, 1933",Queens,Long Island City,"4,334,290",114,
Queensboro Plaza,7 N W,"BMT Astoria Line,
IRT Flushing Line",,"November 16, 1916",Queens,Long Island City,"5,018,211",91,
Ralph Avenue,C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Bedford–Stuyvesant,"1,829,126",253,
Rector Street,R W,BMT,Broadway Line,"January 5, 1918",Manhattan,Financial District,"2,014,996",234,
Rector Street,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Financial District,"2,554,523",189,
Rockaway Avenue,C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Bedford–Stuyvesant,"1,787,343",258,
Rockaway Avenue,3,IRT,New Lots Line,"November 22, 1920",Brooklyn,Brownsville,"1,451,431",303,
Rockaway Boulevard,A,IND,Fulton Street Line,"September 25, 1915",Queens,Ozone Park,"2,299,903",203,
Rockaway Park–Beach 116th Street†,S,IND,Rockaway Line,"June 28, 1956",Queens,Rockaway Park,"228,144",420,
Roosevelt Island,F,IND,63rd Street Line,"October 29, 1989",Manhattan,Roosevelt Island,"2,380,764",198,
St. Lawrence Avenue,6,IRT,Pelham Line,"May 30, 1920",The Bronx,Parkchester,"1,276,865",327,
Saratoga Avenue,3,IRT,New Lots Line,"November 22, 1920",Brooklyn,Brownsville,"1,556,357",288,
Seneca Avenue,M,BMT,BMT Myrtle Avenue Line,"February 22, 1915",Queens,Ridgewood,"1,080,829",348,
Sheepshead Bay,B Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Sheepshead Bay,"4,169,796",119,
Shepherd Avenue,C,IND,Fulton Street Line,"November 28, 1948",Brooklyn,East New York,"977,012",365,
Simpson Street,2 5,IRT,White Plains Road Line,"November 26, 1904",The Bronx,Longwood,"2,602,749",188,
Smith–Ninth Streets,F G,IND,Culver Line,"October 7, 1933",Brooklyn,Gowanus,"1,435,824",305,
South Ferry/Whitehall Street†,R W 1,BMT,Broadway Line,"September 20, 1918",Manhattan,Battery Park,"10,272,682",27,
,1,IRT,Broadway–Seventh Avenue Line,"March 16, 2009",,,,,
Spring Street,C E,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Hudson Square,"4,423,135",110,
Spring Street,6,IRT,Lexington Avenue Line,"October 27, 1904",Manhattan,Little Italy,"3,754,272",132,
Steinway Street,M R,IND,Queens Boulevard Line,"August 19, 1933",Queens,Astoria,"4,715,335",99,
Sterling Street,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,Prospect Lefferts Gardens,"1,654,809",278,
Sutphin Boulevard,F,IND,Queens Boulevard Line,"April 24, 1937",Queens,Jamaica,"1,345,420",318,
Sutphin Boulevard–Archer Avenue–JFK Airport,E J,"BMT Archer Avenue Line,
IND Archer Avenue Line",,"December 11, 1988",Queens,Jamaica,"7,354,064",51,
Sutter Avenue,L,BMT,Carnarsie Line,"July 28, 1906",Brooklyn,Brownsville,"2,019,485",233,
Sutter Avenue–Rutland Road,3,IRT,New Lots Line,"November 22, 1920",Brooklyn,East Flatbush,"1,047,762",353,
Times Square–42nd Street/Port Authority Bus Terminal†,A C E S N Q R W 1 2 3 7,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Times Square,"65,020,294",1,
,S,IRT,42nd Street Line,"October 27, 1904",,,,,
,N Q R W,BMT,Broadway Line,"January 5, 1918",,,,,
,1 2 3,IRT,Broadway–Seventh Avenue Line,"June 3, 1917",,,,,
,7,IRT,Flushing Line,"March 14, 1927",,,,,
Tremont Avenue,D,IND,Concourse Line,"July 1, 1933",The Bronx,Tremont,"3,052,099",165,
Union Street,R,BMT,Fourth Avenue Line,"June 22, 1915",Brooklyn,Park Slope,"2,271,983",207,
Utica Avenue,A C,IND,Fulton Street Line,"April 9, 1936",Brooklyn,Bedford–Stuyvesant,"5,106,247",89,
Van Cortlandt Park–242nd Street†,1,IRT,Broadway–Seventh Avenue Line,"August 1, 1908",The Bronx,Riverdale,"2,189,109",214,
Van Siclen Avenue,C,IND,Fulton Street Line,"November 28, 1948",Brooklyn,East New York,"918,811",371,
Van Siclen Avenue,J,BMT,Jamaica Line,"December 3, 1885",Brooklyn,East New York,"791,691",383,
Van Siclen Avenue,3,IRT,New Lots Line,"October 16, 1922",Brooklyn,East New York,"853,106",378,
Vernon Boulevard–Jackson Avenue,7,IRT,Flushing Line,"June 22, 1915",Queens,Long Island City,"4,623,070",103,
Wakefield–241st Street†,2,IRT,White Plains Road Line,"December 13, 1920",The Bronx,Wakefield,"1,404,748",307,
Wall Street,2 3,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Financial District,"6,910,581",56,
Wall Street,4 5,IRT,Lexington Avenue Line,"June 12, 1905",Manhattan,Financial District,"5,720,475",75,
West Fourth Street–Washington Square,A B C D E F M,IND,"Sixth Avenue Line,
  Eighth Avenue Line","September 10, 1932",Manhattan,Greenwich Village,"14,063,633",19,
West Eighth Street–New York Aquarium,F Q,"BMT Brighton Line,
IND Culver Line",,"May 19, 1919",Brooklyn,Coney Island,"837,836",379,
West Farms Square–East Tremont Avenue,2 5,IRT,White Plains Road Line,"November 26, 1904",The Bronx,West Farms,"2,104,945",224,
Westchester Square–East Tremont Avenue,6,IRT,Pelham Line,"October 24, 1920",The Bronx,Westchester Square,"1,796,415",257,
Whitlock Avenue,6,IRT,Pelham Line,"May 30, 1920",The Bronx,Foxhurst,"586,845",403,
Wilson Avenue,L,BMT,Carnarsie Line,"July 14, 1928",Brooklyn,Bushwick,"1,290,221",325,
Winthrop Street,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,Prospect Lefferts Gardens,"1,882,065",250,
Woodhaven Boulevard,J,BMT,Jamaica Line,"May 28, 1917",Queens,Woodhaven,"1,337,787",320,
Woodhaven Boulevard,M R,IND,Queens Boulevard Line,"December 31, 1936",Queens,Elmhurst,"6,381,132",65,
Woodlawn†,4,IRT,Jerome Avenue Line,"April 15, 1918",The Bronx,Norwood,"2,094,285",226,
WTC Cortlandt,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Financial District,"4,232,521",117,
York Street,F,IND,Sixth Avenue Line,"April 9, 1936",Brooklyn,Dumbo,"3,927,129",124,
Zerega Avenue,6,IRT,Pelham Line,"October 24, 1920",The Bronx,Westchester Square,"795,756",382,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"14,239,275",18
,,,,,,,,,
,,,,,,,,"32,385,260",4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"17,213,702",13
,,,,,,,,,
,,,,,,,,"1,501,183",297
,,,,,,,,,
,,,,,,,,"10,135,722",28
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"12,455,155",22
,,,,,,,,,
,,,,,,,,"9,065,146",32
,,,,,,,,,
,,,,,,,,"20,820,549",9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"7,033,377",55
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"8,861,296",34
,,,,,,,,,
,,,,,,,,"4,999,385",92
,,,,,,,,,
,,,,,,,,"45,745,700",2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"17,077,862",14
,,,,,,,,,
,,,,,,,,"18,957,465",10
,,,,,,,,,
,,,,,,,,"16,760,813",15
,,,,,,,,,
,,,,,,,,"4,696,924",100
,,,,,,,,,
,,,,,,,,"10,272,682",27
,,,,,,,,,
,,,,,,,,"65,020,294",1
